Country Name,Country Code,Series Name,Series Code,2024 [YR2024]
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6549.23387415397
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4765.72900168387
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,41034.5266723078
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2845.47779302975
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18350.185036972
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,12774.3506596628
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5378.31799981682
Aruba,ABW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,33373.9174591266
Australia,AUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,61480.670710531
Austria,AUT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45958.8250071261
Azerbaijan,AZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5871.14373251952
"Bahamas, The",BHS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,33968.2032187918
Bahrain,BHR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,25812.4504577306
Bangladesh,BGD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1941.27874360025
Barbados,BRB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21581.2171257633
Belarus,BLR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6792.13183495565
Belgium,BEL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45045.6601021398
Belize,BLZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6290.49294452749
Benin,BEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1324.78312597434
Bermuda,BMU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,122117.603586776
Bhutan,BTN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Bolivia,BOL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3045.61476602385
Bosnia and Herzegovina,BIH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6730.26828824205
Botswana,BWA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6937.33180990267
Brazil,BRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9566.74408628371
British Virgin Islands,VGB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,29563.8682753082
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10126.8980075708
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,763.833733522408
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,268.700857391724
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4448.96609078891
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2182.71843902341
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1480.73097431993
Canada,CAN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44413.3983847404
Cayman Islands,CYM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Central African Republic,CAF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,389.938307964229
Chad,TCD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,849.707321000625
Channel Islands,CHI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Chile,CHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14579.4001071307
China,CHN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13121.6769905565
Colombia,COL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6863.59563194342
Comoros,COM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1401.88898411553
"Congo, Dem. Rep.",COD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,554.244129980766
"Congo, Rep.",COG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1679.58061097707
Costa Rica,CRI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,14866.5823676109
Cote d'Ivoire,CIV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2395.67689089222
Croatia,HRV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,17854.2091012685
Cuba,CUB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7381.39774048869
Curacao,CUW,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,18044.7751865648
Cyprus,CYP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,32617.216796875
Czechia,CZE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,20445.432830127
Denmark,DNK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,60772.8624276041
Djibouti,DJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3290.42482052598
Dominica,DMA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9172.71049624795
Dominican Republic,DOM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,9168.45418897141
Ecuador,ECU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5999.39391066593
"Egypt, Arab Rep.",EGY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4137.60929232898
El Salvador,SLV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4585.22599757795
Equatorial Guinea,GNQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5041.94038551173
Eritrea,ERI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Estonia,EST,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,20078.1397620993
Eswatini,SWZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3864.20550510839
Ethiopia,ETH,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,883.458588619291
Faroe Islands,FRO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,59257.6449307094
Fiji,FJI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5935.20896505673
Finland,FIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,45254.0358658917
France,FRA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39683.3953489029
French Polynesia,PYF,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,20846.6514059991
Gabon,GAB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6618.98685865885
"Gambia, The",GMB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,758.96588872906
Georgia,GEO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6808.07398025981
Germany,DEU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44027.7631554469
Ghana,GHA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2167.72691406678
Gibraltar,GIB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Greece,GRC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,21494.6856060599
Greenland,GRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Grenada,GRD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10196.0049872434
Guam,GUM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Guatemala,GTM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4563.09590652717
Guinea,GIN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1045.92207475817
Guinea-Bissau,GNB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,793.692157673779
Guyana,GUY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,33034.9576389333
Haiti,HTI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1154.87300909888
Honduras,HND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2573.37159995648
"Hong Kong SAR, China",HKG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,44712.7654725532
Hungary,HUN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16518.6369936397
Iceland,ISL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,59307.1777759714
India,IND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2396.94999213544
Indonesia,IDN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4367.86266621191
"Iran, Islamic Rep.",IRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5834.44296939863
Iraq,IRQ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4180.29619477317
Ireland,IRL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,94474.9879707069
Isle of Man,IMN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Israel,ISR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,41845.1660567523
Italy,ITA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34495.2545799636
Jamaica,JAM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6096.4327030963
Japan,JPN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37152.5636003552
Jordan,JOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4016.83429143296
Kazakhstan,KAZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11872.7842626298
Kenya,KEN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1860.02287047776
Kiribati,KIR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2041.87601786956
"Korea, Dem. People's Rep.",PRK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
"Korea, Rep.",KOR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,37048.4264001496
Kosovo,XKX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5631.68223392136
Kuwait,KWT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,23867.826500295
Kyrgyz Republic,KGZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1391.68404329929
Lao PDR,LAO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2721.07810663082
Latvia,LVA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16374.773539624
Lebanon,LBN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Lesotho,LSO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,991.069661910744
Liberia,LBR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,665.101337624192
Libya,LBY,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,7696.0807819319
Liechtenstein,LIE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
Lithuania,LTU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,19092.6451176955
Luxembourg,LUX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,104147.1739928
"Macao SAR, China",MAC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,63377.2932129214
Madagascar,MDG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,453.383067004772
Malawi,MWI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,551.95152347056
Malaysia,MYS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11883.79127749
Maldives,MDV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11798.791369146
Mali,MLI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,909.755317910813
Malta,MLT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34670.0815997119
Marshall Islands,MHL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,5811.03355673487
Mauritania,MRT,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1688.6139322919
Mauritius,MUS,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,11934.770909957
Mexico,MEX,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,10316.4611902215
"Micronesia, Fed. Sts.",FSM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2930.27926555574
Moldova,MDA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3851.51202518347
Monaco,MCO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,247170.219910657
Mongolia,MNG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4626.79609644243
Montenegro,MNE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8540.00828913129
Morocco,MAR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3516.15405273438
Mozambique,MOZ,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,605.604720848519
Myanmar,MMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1158.47928099316
Namibia,NAM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4034.35053463284
Nauru,NRU,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8570.95582950675
Nepal,NPL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1179.81272768386
Netherlands,NLD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,51178.5256968147
New Caledonia,NCL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
New Zealand,NZL,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,42408.2378731636
Nicaragua,NIC,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2290.47162505995
Niger,NER,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,595.151744559316
Nigeria,NGA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2324.64881202751
North Macedonia,MKD,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,6628.84686594032
Northern Mariana Islands,MNP,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,..
