name;description;price;category;mass
Campo del Cielo Meteorite 21.1g Crystal;CC-160 Campo del Cielo iron meteorite was first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years,;$26.38;Campo del Cielo Iron Meteorite;21.1g
Laâyoune 002 Lunar Meteorite 0.62g;Laâyoune LAAY-193 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$46.50;Laâyoune 002 Lunar Meteorite;0.62g
Clarendon (c) Meteorite 2.1g;CLAR-17 Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color,;$14.85;Clarendon (c) L4 Meteorite;2.1g
Tassédet 004 Meteorite 9.6g;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-69;$17.28;Tassédet 004 H5 Impact Melt Meteorite;9.6g
Clarendon (c) Meteorite 1.6g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-18;$15.00;Clarendon (c) L4 Meteorite;1.6g
Gold Basin Meteorite 36.1g;GBAS-21 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$54.15;Gold Basin L4 Meteorite;36.1g
Laâyoune 002 Lunar Meteorite 1.29g;Laâyoune 002 is classified as a Lunar LAAY-181 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$97.75;Laâyoune 002 Lunar Meteorite;1.29g
Gold Basin Meteorite 48.8g;GBAS-23 Gold Basin meteorite is an L4 Chondrite meteorite and is found in an area popular with gold prospectors in Mohave County Arizona, USA.;$73.20;Gold Basin L4 Meteorite;48.8g
NWA 869 Meteorite 24.3g Slice;The NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules 869-379;$85.05;NWA 869 L3-6 Meteorite;24.3g
Sericho Pallasite Individual 1.21g;The Sericho pallasite meteorite was purchased in 2017 in Isiolo County, Kenya. These small pieces are skeletons of mostly only metal SERS-235;$12.10;Sericho Pallasite Meteorite;1.21g
Muonionalusta Meteorite 3.7g;Nice affordable slices and multiple cut pieces of Muonionalusta iron meteorite from Sweden. MUO-106;$14.80;Muonionalusta Meteorite;3.7g
NWA 11700 Meteorite 6.2g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-28;$12.40;NWA 11700 H4 Meteorite;6.2g
NWA 869 Meteorite 22.0g Slice;869-381 NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules;$77.00;NWA 869 L3-6 Meteorite;22.0g
Aletai Meteorite 8.0g Crystal;ALET-148 Aletai meteorites are commonly seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes.;$10.00;Aletai Meteorite;8.0g
Sikhote-Alin Meteorite 18.1g;SA-2172 Thumbprints or regmaglypts are what make iron meteorites look so distinctive in museums. Sikhote Alin individuals have this characteristic.;$90.50;Sikhote-Alin Iron Meteorite;18.1g
Laâyoune 002 Lunar Meteorite 1.57g;Laâyoune 002 is classified as a Lunar LAAY-180 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$118.75;Laâyoune 002 Lunar Meteorite;1.57g
Tassédet 004 Meteorite 20.8g Slice;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside.TAS-71;$62.40;Tassédet 004 H5 Impact Melt Meteorite;20.8g
Bechar 003 Lunar Meteorite 0.58g;Bechar 003 lunar meteorite was found on March 24, 2022. Many small pieces of Bechar 003 were found which initially totaled 1522 grams.151-ME-11;$31.90;Bechar 003 Lunar Meteorite;0.58g
Laâyoune 002 Lunar Meteorite 2.02g;Laâyoune 002 is classified as a Lunar LAAY-182 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$152.50;Laâyoune 002 Lunar Meteorite;2.02g
NWA 11700 Meteorite 6.4g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-23;$12.80;NWA 11700 H4 Meteorite;6.4g
Dronino Oxide 5.2g;nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-48;$5.20;Dronino Ataxite Iron Meteorite;5.2g
Saffordite 5.4g;The surface of Saffordites are usually pitted with cup-shaped depressions similar to tektites. Some Saffordites are gemmy clear SAF-159 when held to a light.;$43.20;Saffordite;5.4g
Laâyoune 002 Lunar Meteorite 1.68g;Laâyoune 002 is LAAY-186classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;$127.00;Laâyoune 002 Lunar Meteorite;1.68g
Gebel Kamil Meteorite 3.7g Cleaned;GEB-32 Gebel Kamil meteorite was found in Al Wadi al Jadid, Egypt in 2009. A total of about 1600 kg of Gebel Kamil iron meteorite shrapnel was found.;$7.40;Gebel Kamil Iron Meteorite;3.7g
