country_name,country_code,region,income_group,aridity_index,population_density_2022,gdp_per_capita_2024
Afghanistan,AFG,Middle East & North Africa,Low income,84.61,62.2155405301811,0.0
Albania,ALB,Europe & Central Asia,Upper middle income,7608.77,89.4757664233577,6549.23387415397
Algeria,DZA,Middle East & North Africa,Upper middle income,3741.49,19.0941870229328,4765.72900168387
American Samoa,ASM,East Asia & Pacific,High income,63702.19,241.71,0.0
Andorra,AND,Europe & Central Asia,High income,48.0,169.585106382979,41034.5266723078
Angola,AGO,Sub-Saharan Africa,Lower middle income,37090.14,28.5834835966953,2845.47779302975
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,64964.03,211.0,18350.185036972
Argentina,ARG,Latin America & Caribbean,Upper middle income,22792.23,16.5922716858687,12774.3506596628
Armenia,ARM,Europe & Central Asia,Upper middle income,52.95,105.297053157777,5378.31799981682
Aruba,ABW,Latin America & Caribbean,High income,59837.74,596.166666666667,33373.9174591266
Australia,AUS,East Asia & Pacific,High income,42536.19,3.38256023775289,61480.670710531
Austria,AUT,Europe & Central Asia,High income,39.18,109.571631119729,45958.8250071261
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,55.18,122.707271627344,5871.14373251952
"Bahamas, The",BHS,Latin America & Caribbean,High income,53132.5,39.7140859140859,33968.2032187918
Bahrain,BHR,Middle East & North Africa,High income,21901.0,1929.99113924051,25812.4504577306
Bangladesh,BGD,South Asia,Lower middle income,19514.83,1300.36002610164,1941.27874360025
Barbados,BRB,Latin America & Caribbean,High income,65272.91,656.553488372093,21581.2171257633
Belarus,BLR,Europe & Central Asia,Upper middle income,47.17,45.4607172767131,6792.13183495565
Belgium,BEL,Europe & Central Asia,High income,7596.85,383.033055683085,45045.6601021398
Belize,BLZ,Latin America & Caribbean,Upper middle income,19041.29,17.6559842174485,6290.49294452749
Benin,BEN,Sub-Saharan Africa,Lower middle income,11944.65,122.024663001064,1324.78312597434
Bermuda,BMU,North America,High income,65485.07,1199.05555555556,122117.603586776
Bhutan,BTN,South Asia,Lower middle income,18.25,20.4749344520189,0.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,19.98,11.1484851841595,3045.61476602385
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,48.4,62.5937890625,6730.26828824205
Botswana,BWA,Sub-Saharan Africa,Upper middle income,41.42,4.30521059411007,6937.33180990267
Brazil,BRA,Latin America & Caribbean,Upper middle income,36494.53,25.161867951482,9566.74408628371
British Virgin Islands,VGB,Latin America & Caribbean,High income,63897.08,255.46,0.0
